hole_uid,source_id,native_id,company,project,jurisdiction,lat,lon,easting,northing,utm_zone,utm_hemi,datum,elev_m,azimuth,dip,depth_m,year_drilled,has_assay,assay_flags,report_ref,url
gov:nb:J-3,gov:nb,J-3,,Yes,New Brunswick,45.84653633490803,-64.87521325266148,,,,,NAD83,,225.0,-45.0,44.196000000000005,1969.0,0,,470644,
gov:nb:J-4,gov:nb,J-4,,Yes,New Brunswick,45.84998708484713,-64.84991233896052,,,,,NAD83,,210.0,-45.0,34.1376,1969.0,0,,470644,
gov:nb:I-1,gov:nb,I-1,,Yes,New Brunswick,45.86616232537497,-64.78878918017523,,,,,NAD83,,157.0,-45.0,20.7264,1969.0,0,,470645,
gov:nb:DEM93-2,gov:nb,DEM93-2,,Yes,New Brunswick,45.86501419037159,-64.64838800699694,,,,,NAD83,,,-90.0,41.1,1993.0,0,,474389,
gov:nb:DEM93-3,gov:nb,DEM93-3,,Yes,New Brunswick,45.86645575602064,-64.64904833496867,,,,,NAD83,,,-90.0,43.9,1993.0,0,,474389,
gov:nb:DEM93-4,gov:nb,DEM93-4,,Yes,New Brunswick,45.865195059914996,-64.647338629621,,,,,NAD83,,,-90.0,43.9,1993.0,0,,474389,
gov:nb:DEM93-5,gov:nb,DEM93-5,,Yes,New Brunswick,45.866223690220984,-64.64695648226994,,,,,NAD83,,,-90.0,111.9,1993.0,0,,474389,
gov:nb:DEM93-6,gov:nb,DEM93-6,,Yes,New Brunswick,45.854131180562796,-64.64101147020341,,,,,NAD83,,,-90.0,62.2,1993.0,0,,474389,
gov:nb:DEM93-7,gov:nb,DEM93-7,,Yes,New Brunswick,45.8670611719989,-64.64699290577038,,,,,NAD83,,,-90.0,101.8,1993.0,0,,474389,
gov:nb:DEM93-8,gov:nb,DEM93-8,,Yes,New Brunswick,45.85316955056543,-64.63998770015682,,,,,NAD83,,,-90.0,59.1,1993.0,0,,474389,
gov:nb:CHCR-35,gov:nb,CHCR-35,,Yes,New Brunswick,45.7922491733628,-64.67727413370338,,,,,NAD83,,,-90.0,24.384,1975.0,0,,TR 75-11,
gov:nb:CHCR-36,gov:nb,CHCR-36,,Yes,New Brunswick,45.79068692615331,-64.67917770296876,,,,,NAD83,,,-90.0,22.86,1975.0,0,,TR 75-13,
gov:nb:CHCR-37,gov:nb,CHCR-37,,Yes,New Brunswick,45.7926714428872,-64.67835371004274,,,,,NAD83,,,-89.0,57.607200000000006,1975.0,0,,TR 75-10,
gov:nb:CHCR-40,gov:nb,CHCR-40,,Yes,New Brunswick,45.79364855669157,-64.67587750313974,,,,,NAD83,,,-90.0,22.555200000000003,1975.0,0,,TR 75-11,
gov:nb:SH-32,gov:nb,SH-32,,Yes,New Brunswick,45.767361533955444,-64.65075386660274,,,,,NAD83,,,-90.0,30.1752,1975.0,0,,TR 75-15,
gov:nb:SH-33,gov:nb,SH-33,,Yes,New Brunswick,45.76586958593775,-64.6530792947011,,,,,NAD83,,,-90.0,26.822400000000002,1975.0,0,,TR 75-16,
gov:nb:SH-34,gov:nb,SH-34,,Yes,New Brunswick,45.763955512312045,-64.65490430831727,,,,,NAD83,,,-88.0,25.6032,1975.0,0,,TR 75-14,
gov:nb:59025,gov:nb,59025,,Yes,New Brunswick,45.792349138948346,-65.494706893612,,,,,NAD83,,,-90.0,25.908,1976.0,0,,470672,
gov:nb:59053,gov:nb,59053,,Yes,New Brunswick,45.87486717527859,-65.44296015685879,,,,,NAD83,,280.0,-45.0,52.1208,1978.0,0,,472205,
gov:nb:59072,gov:nb,59072,,Yes,New Brunswick,45.978841556863095,-65.33203435837184,,,,,NAD83,,165.0,-85.0,36.576,1979.0,0,,472377,
gov:nb:59073,gov:nb,59073,,Yes,New Brunswick,45.98752451599572,-65.33466490475939,,,,,NAD83,,165.0,-85.0,51.816,1979.0,0,,472377,
gov:nb:SA-91-068,gov:nb,SA-91-068,,Yes,New Brunswick,45.97565146571448,-65.3762248644695,,,,,NAD83,,,-90.0,56.39,1992.0,0,,474161,
gov:nb:SA-91-069,gov:nb,SA-91-069,,Yes,New Brunswick,45.974410654814875,-65.37449500056981,,,,,NAD83,,,-90.0,83.82000000000001,1992.0,0,,474161,
gov:nb:SA-91-070,gov:nb,SA-91-070,,Yes,New Brunswick,45.97590449323008,-65.37269657387566,,,,,NAD83,,,-90.0,99.06,1992.0,0,,474161,
gov:nb:SA-91-071,gov:nb,SA-91-071,,Yes,New Brunswick,45.9774388205647,-65.37498831987742,,,,,NAD83,,,-90.0,59.44,1992.0,0,,474161,
gov:nb:SA-91-072,gov:nb,SA-91-072,,Yes,New Brunswick,45.97904521821254,-65.37365213150318,,,,,NAD83,,,-90.0,80.16,1992.0,0,,474161,
